MATURITY,BID,ASKED,CHG,ASKED YIELD
07/09/19,2.173,2.163,-0.035,2.199
07/11/19,2.178,2.168,-0.012,2.198
7/16/2019,2.215,2.205,-0.005,2.243
7/18/2019,2.21,2.2,0.02,2.232
7/23/2019,2.205,2.195,-0.012,2.2336
7/25/2019,2.22,2.21,0.008,2.243
7/30/2019,2.21,2.2,0.015,2.24
08/01/19,2.165,2.155,0.023,2.188
08/06/19,2.22,2.21,0.023,2.251
08/08/19,2.145,2.135,0.03,2.169
8/13/2019,2.15,2.14,-0.008,2.18
8/15/2019,2.17,2.16,0.007,2.195
8/20/2019,2.155,2.145,-0.008,2.1864
8/22/2019,2.17,2.16,0.015,2.196
8/27/2019,2.153,2.143,0.012,2.185
8/29/2019,2.18,2.17,0.035,2.2071
09/03/19,2.18,2.17,n.a.,2.214
09/05/19,2.18,2.17,0.035,2.208
09/12/19,2.173,2.163,0.032,2.201
9/19/2019,2.165,2.155,0.033,2.201
9/26/2019,2.13,2.12,0.012,2.166
10/03/19,2.18,2.17,0.02,2.218
10/10/19,2.16,2.15,0.023,2.1922
10/17/2019,2.093,2.083,0.01,2.13
10/24/2019,2.063,2.053,0.01,2.1
10/31/2019,2.048,2.038,-0.002,2.085
11/07/19,2.08,2.07,0.02,2.114
11/14/2019,2.065,2.055,0.012,2.1047
11/21/2019,2.065,2.055,0.007,2.106
11/29/2019,2.068,2.058,0.007,2.109
12/05/19,2.048,2.038,0.025,2.084
12/12/19,2.05,2.04,0.012,2.093
12/19/2019,2.04,2.03,0.01,2.083
12/26/2019,2.07,2.06,0.035,2.115
01/02/20,2.085,2.075,0.05,2.126
1/30/2020,1.938,1.928,0.048,1.976
2/27/2020,1.96,1.95,0.06,2.003
3/26/2020,1.968,1.958,0.035,2.019
4/23/2020,1.965,1.955,0.045,2.019
5/21/2020,1.948,1.938,0.058,2.004
6/18/2020,1.943,1.933,0.077,2.002